time_s,radius_m,pressure_Pa,damage,tension_Npm
37.59,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.62,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.65,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.68,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.71,5.314414137592402e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.74,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.77,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
37.8,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
37.83,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
37.86,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
37.89,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.92,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.95,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.98,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.01,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
38.04,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.07,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.1,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.13,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.16,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.19,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.22,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.25,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.28,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.31,5.3144141375924014e-5,2.1877797476493335,0.9182170364622673,5.8133838104229714e-5
38.34,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.37,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.4,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.43,5.3144141375924014e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.46,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.49,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.52,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.55,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.58,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.61,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.64,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.67,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
38.7,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
38.73,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
38.76,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.79,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.82,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
38.85,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.88,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.91,5.3144141375924014e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
38.94,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
38.97,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.0,5.3144141375924014e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.03,5.3144141375924014e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.06,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.09,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.12,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.15,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.18,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.21,5.314414137592402e-5,2.187779747649333,0.9182170364622675,5.8133838104229545e-5
39.24,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.27,5.314414137592402e-5,2.187779747649333,0.9182170364622674,5.8133838104229626e-5
39.3,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.33,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.36,5.314414137592402e-5,2.1877797476493335,0.9182170364622675,5.8133838104229545e-5
39.39,5.314414137592402e-5,2.1877797476493335,0.9182170364622674,5.8133838104229626e-5
